tam,kan,mal,tel
kuyil,kogile,,koyila
kuyil,kogile,,kokila
cinna paravai,cikka-paksi,ceriya paksi,cinna paksi
an cakravaka paravai,cakravaka-paksi,,cakravakapaksi
kankaru,kangaru,kankaru,kangaru
tol,,toli,tolu
canku,sankha,sankhu,sankham
nattai,,,natta
aktopas,aktapas,okrropas,aktopas
timinkalam,timingila,timingalam,timingalamu
punai inattai cernta vilanku,bekkina jatiya prani,puccayute varggittil petta mrgam,gandu pilli jati jantuvu
ciruttai,cirate,,ciruta
ciruttai,cirate,cirrappuli,cirutapuli
cinkam,simha,simham,simhamu
puli,,puli,puli
vauval,bavali,vaval,vatuli
pattuppulu,,pattunul pulu,pattupurugu
larva,larva,larva,larva
mullampanri,mullu handi,mullan panni,mundlapandi
mullampanri,mullu handi,mullan panni,mullapandi
kutirai,asva,kudara,asvam
kantamirukam,,kantamrgam,khadgamrgam
panri,handi,panni,pandi
rentiyar,,reyindiyar,renediyar
kasturi man,kasturi mruga,kasturiman,kasturijinka
lama,lama,lama,lama
mul,mullu,mull,mullu
manitan,manusya,manusyan,manisi
manitan,manusya,manujar,manavajati
manitan,manava,manavar,narajati
korilla,gorilla,gorilla,gorilla
cimpanci,cimpanji,cimpansi,cimpanji
lankur,languli,langur,langur
lemar,,lemar,lemar
yanai,ane,ana,enugu
vimanam,vimana,vimanam,vimanamu
vimananilaiyam,vimana nildana,,vimanasrayam
tayattu,,,tayattu
nankuram,langaru,nankuram,langaru
ropat,,robott,robot
tarc,tarcu,torcc,tarc
tottam,hutota,puntottam,pudota
kottai,kote,,kota
pavuntain pen,phauntan-pennu,phantan pena,phaunten pennu
pavuntain pen,phauntan pennu,phantan pena,phaunten pen
parniccar,,phrniccar,pharnicar
kerej,gyareju,gyarej,gyarej
cenarettar,janaretar,janarerrar,janaretar
matupattiram,madhyadapatre,panapatram,madyapana patra
rekulettar,,regulerrar,regyuletar
tottam,,,tota
citar,gitar,girrar,gitaru
kotari,kodali,,goddali
harmoniyam,harmoniyam,harmoniyam,harmoniyam
aciramam,asrama,asramam,asramam
herayin,herayin,heroyin,heroyin
veppa karru palun,,,vedi gali gummatam
ottal,hotelu,hottal,hotal
illam,sadana,bhavanam,nilayam
pavanam,nilaya,alayam,nivasam
pavanam,sadana,sadanam,avasam
illam,alaya,sadanam,bhavanam
ampari,ambari,,ambari
intarnet,,inrarnerr,-intarnet
istiri,istri,,istri
jakki,,,jaki
jip,jipu,jipp,jipu
rikca,riksa,riksa,riksa
kettil,,kerril,ketilu
katar,,khadar,khaddharu
raja,raja,rajav,raju
camaiyalupakaranam,aduge upakarana,atukkala upakaranam,vanta upakaranam
katti,katti,katti,katti
leptap,lyap tap,lapptopp,laptap
lainin,,,laining
lunki,lungi,lunki,lungi
iyantiram,yantra,yantram,yantramu
varaipatam,,,citrapatam
catanam,,,parikaram
catanam,,,upakaranam
skuttar,skutar,skuttar,skutaru
ceruppu,,ceruppu,ceppulu
cuvar cittiram,,cuvarcitram,kudyacitram
kalar,,kolar,kalar
tai,,tai,tai
paccaik kuttum uci,hacce cuccuva upakarana,,paccabottu podice sudi
valai,jala,vala,vala
valai,jala,,jalam
valai,jala,,jalakam
valai,jala,,jala
valai,,vala,-vala
naval,,,navala
rajpavan,rajabhavana,rajbhavan,rajabhavanam
pallakku,pallakki,,pallaki
pena,pennu,pena,pena
pena,pennu,pen,pennu
penicilin,,,pensilin
piyano,piyano,piyano,piyano
patam,,patam,patamu
"talaiyanai,",,talayana,talagada
pistan,pistan,pisrran,pistan
pinkan,,,pingani
tapalpetti,ance-pettige,tapalppetti,letarbaks
cakkaram,cakra,cakram,cakram
pirasarkukkar,prasar kukkar,,presar kukkar
jeyil,jailu,jayil,jailu
urpatti,,,utpatti
ataram,sahaya,asrayam,adharam
pottan,batan,battan,batan
mantiri,mantri,mantri,mantri
rani,rani,rajni,rani
ratar,redar,radar,radar
retiyo,rediyo,rediyo,rediyo
irayilnilaiyam,railve nildana,,railvenilayam
rekkartar,rikardaru,rekkodar,rikardu
rappar,rabbaru,rabbar,rabbaru
skel,,skeyil,skelu
calvar,selvar,sal var,selvar
ceruppu,,,ceppu
ilankai,,,srilanka
sattan,,sarrin,satin
kutumpam,kutumba,kutumbam,kutumbam
uci,suji,suci,sudi
ankati,mandi,,angadi
sattar,satar,sattar,sattar
paniyan,baniyanu,baniyan,baniyanu
cittar,sitar,sitara,sitara
aru,aru,ar,aru
cattam,,,catramu
irakket,raket,,raket
naciyam,nasya,,nasyam
mukkuppoti,,mukkippoti,mukkupodi
sputnik,sputnik,sputnik,sputnik
niraviiyantiram,ugi yantra,aviyantram,usmayantram
niraviiyantiram,ugi yantra,aviyantram,aviriyantram
niraviiyantiram,ugi yantra,aviyantram,baspayantram
stupi,stupa,stupam,sthupamu
mottam,motta,mottam,mottam
svettar,svetar,sverrar,spetaru
uci,suci,suci,sucika
uci,suci,suci,suci
tapela,tabala,tabala,tabala
kancira,kanjari,,khanjari
vivekam,viveka,vivekam,vivekamu
nanam,,,nnanam
muttal,murkhatana,,murkhatvam
aviveki,aviveka,avivekam,avivekam
mutar,murkhatana,,mudhatvam
peraval,,,perasa
vannam,banna,varnnam,vanniya
vannam,banna,varnnam,varnika
varnam,banna,varnnam,varnamu
nilaniram,nili-rangu,nila niram,nilarangu
cattam,sabda,sabdam,sabdham
talam,tala,talam,talam
uppu,uppu,upp,uppu
pulippu,,pulipp,pulupu
palavinam,balahina,balahinam,balahinata
usnam,usna,usnam,usnam
usnam,usnate,usnam,usmam
usnam,usnate,usnam,ausnyam
pirakacam,prakasa,,prakasam
katinam,kathina,kathinam,kathinam
cakti,sakti,,sakti
palam,,,balam
palam,bala,,balamu
tiviram,tivravagi,,tivrata
turitam,,,tvaritam
vekam,vega,vegata,vegam
acanam,asana,asanam,asanam
camipam,samipa,samipyam,samipam
vicalam,,visalata,-visalam
upayokam,upayoga,upabhogam,upayogamu
matiri,madari,matrka,madri
matiri,madari,matrka,madiri
cantosam,santosa,santosam,santosam
anantam,ananda,anandam,anandam
param,bhara,bharam,bharam
varkkam,varga,varggam,vargam
niyamam,niyama,niyamam,niyamam
paksam,parsva,vasam,paksam
arputam,apurva,,apurvam
rupamillata porul,akaravillada-vastu,akrtiyillatta vastu,akararahita vastuvu
rupamillata porul,akarahina vastu,rupamillatta vastu,nirakarapuvastuvu
vitantavatam,,,vitandavadamu
yuttaniti,yuddha niti,yuddhaniti,yuddhaniti
namaj,namaju,,namaju
arttam,artha,arttham,artham
napakam,,,jnapakam
nanavu,nenapu,,nnapti
utaranam,udaharane,udaharanam,udaharana
apiprayam,abhipraya,abhiprayam,abhiprayamu
nattikan,nastikate,,nasthikudu
kanitam,ganitasastra,ganitam,ganitasastram
iyarkanitam,bija ganita,bijaganitam,bijaganitam
iyantiraviyal,yantra vidye,,yantrika vidya
tatuviyal,,loha vijnanam,dhatu vijnanamu
manitaviyal,manavasastra,naravamsasastram,manava vijnanam
manitaviyal,manavasastra,naravamsasastram,manava vijnanasastram
ankilam,inglis,inglis,inglisu
ankilam,inglis,inglis,anglam
niticastiram,nitisastra,nitisastram,nitisastram
cattam,,,cattam
tarkakacastiram,tarkasastra,tarkkasastram,nyayasastram
parapatcam,paksapata,paksapatam,paksapatam
kauravam,gaurava,,gauravam
nattikkavatam,nastikate,nastikan,nastikavadam
islamiyamatam,islam darma,islam matam,muslim dharmam
islamiyamatam,islam darma,islam matam,islam dharmam
yokacastiram,yogadarsana,,yogasastram
jeyinamatam,jaina dharma,jainamatam,jainadharmam
tapal,tapalu,tapal,tapala
pacai,bhase,bhasa,bhasa
vakkiyam,vakya,vacakam,vakyamu
kariyam,kayaka,kriyapadam,kriya
kariyam,kayaka,kriya,karyam
kariyam,kriye,kriyapadam,kriyapadam
kariyam,kayaka,kriyapadam,krtyam
inam,linga,lingam,lingam
kalam,kala,kalam,kalam
irantakalam,bhuta,bhutakalam,gatakalam
irantakalam,bhuta,bhutakalam,bhuta kalam
preyili,,,breyili
kavitai,kavana,kavita,kavita
makakaviyam,maha-kavya,mahakavyam,mahakavyamu
kantam,khanda,kandam,kandalu
oram,,,ora
pakam,patha,patham,patham
arimukam,,amukham,vajnmukham
puttakam,pustaka,pustakam,pustakam
puttakam,cikka pustaka,kaipustakam,pustakamu
paipil,baibal,baibil,baibilu
paipil,baibal,baibil,baibul
vetam,veda,vedam,vedamu
pativam,pharamu,,patram
pativam,pharam,,pharam
pattiyal,,pattika,patti
pattiyal,,pattika,pattika
nakal,nakalu,,nakalu
kuppan,kupannu,kuppan,kupan
camman,samanu,samans,samanlu
visayam,visaya,visayam,visayamu
cinima,sinima,sinima,sinima
pataccinnam,pada cinhe,,pada cihnalu
pataccinnam,pada cinhe,,padacihnamulu
tarkkam,tarka,tarkkam,tarkamu
vatam,vada,vadam,vadamu
rakaciyam,rahasya,rahasyam,rahasyamu
ankikaram,angikara,angikaram,angikaram
anumati,,anuvadam,sammati
anumati,,sammatam,anumati
apavatam,,apavadam,apavadu
nipantanai,,,nibandhana
anumanam,anumana,anumanam,ancana
ahimcai,ahimse,ahimsa,ahimsa
roman en,roman sankhye,roman sankhya,roman sankhya
roman en,roman-sankhye,roman sankhya,roman anke
civalinkam,sivalinga,sivabimbam,sivalingam
kantaram,,gandharam,gandhararagam
tayi,,,thay
rasya pasai,rasyayan bhase,rasyanbhasa,rasyan bhasa
ankilam,ingalis,inglis,anglamu
camaskirutam,samskruta bhase,samskrtam,samskrtam
intustani,hindusthani bhase,hindusthani,hindhusthanilu
intustani,hindusthani-bhase,hindusthani,hindhusthani
oriya,odiya,utiya bhasa,-oriya
oriya,odiya bhase,utiya bhasa,odiya
kujaratti,gujarati,gujaratti,gujarati
cinkalam,,simhala,simhaliya
kasmiri,kasmiri bhase,kasmiri bhasa,kasmiri
kasmiri,kasmiri bhase,kasmiri bhasa,kasmiri bhase
parci,parsi,,parisiyan
parci,parsi,,pharasi
kannatam,kannada,kannata,kannada bhasa
malaiyalam,malayali,malayalam,malayalam
cittiram,citra,citram,citram
natakam,ata,natakam,natakam
ankam,anka,kandam,ankam
cankitam,sangita,sangitam,sangitam
vakkucaturyam,vak-caturate,vakcaturyam,vakpatutvam
vakkucaturyam,vak caturate,vakcaturyam,vakcaturyam
kavitai,kavana,kavita,kavitvam
alankaram,alankara,alankaram,alankaram
attakacam,attahasa,attahasam,attahasamu
mantira tantira pirayokam,,,mantralato dayyalanu vadalagottatam
capam,sapa,sapam,sapam
kalavaram,,kalaham,kalaham
yacakam,,yacana,yacana
varnanai,varnane,varnnanam,varnana
katai,kathe,katha,katha
katai,kathe,katha,kathalu
eccarikkai,eccarike,,heccarika
capatam,sapatha,samayam,sapatham
vivaranam,,vivaranam,vivaram
upatecam,upadesa,upadesam,upadesam
cinnam,,,cihnamu
cakunam,sakuna,sakunam,sakunam
nallalatcanam,subhalaksana,subhalaksanam,mancilaksanam
nallalatcanam,subhalaksana,nallalaksanam,subhalaksanam
apacakunam,,dussakunam,apasakunam
piratipalan,pratiphala,pratiphalam,pratiphalamu
"marupatu,",marpadu,,marpu
holi,,holi,holi
narakam,naraka,narakam,narakam
kirakanam,,grahanam,grahanam
curiyakirakanam,surya grahana,suryagrahanam,suryagrahanamu
cantirakirakanam,candra grahana,candragrahanam,candragrahanamu
tatal enru vilum ocai,,,dhad anu sabdam
tak - tak,taka taka,takk-takk,taktak
tak - tak,taka taka,takk-takk,takataka
tik - tik,tik tik,tik-tiksabdam,tik tik
pukampam,bhumikampana,bhucalanam,bhunkampam
piraccaram,pracara,pracaram,pracaramu
piraccaram,pracara,pracaram,prasaramu
painalmec,phainal,phainal,phainal myac
painalmec,phainal,phainal,phainal
manopavam,manovikara,manosvapnam,manovikaram
manopavam,manovikara,manogati,manobhavana
pakti,bhakti,,bhakti
payam,bhaya,bhangam,bhayam
payam,,bhayam,bhayamu
karvam,garva,,garvam
karvam,,,kavaram
anantam,ananda,anandam,anandamu
atmacantocam,atma santosa,atmasantosam,atma santrpti
cokam,soka,sokam,sokam
manavetanai,manovyathe,manovedana,manovyadha
manavetanai,manovyathe,cittavedana,antarvyada
piranti,brandi,brandi,brandi
ram,ram,ram,rammu
lotka,vodka,vodka,bodka
lotka,vodka,vodka,odka
viski,viski,viski,hivsaki
palaracam,,,pandlarasam
tenir,,,teniru
cevitu,,,ceviti
viroti,vairi,virodhi,vairi
viroti,vairi,virodhi,virodhi
citai,,citi,citi
camukam,samaja,samuham,samajam
uyarnta kutumpam,unnata kula,uyarnna kulam,unnatakulam
vamcam,vamsa,,vamsam
jatai,,,jata
jatai,,,janta
joti,jote,jodi,jodu
tampati,dampati,dampatikal,dampatulu
retkiras,red kras,red kros,redkras
palivut,balivud,bolivud,balivud
matam,mata,matam,matam
caiva campiratayam,saivasampradaya,saiva sampradayam,sivasampradayam
hiniyan,hinayana,hinayanam,hinayan
varkkam,varna,varggam,varnam
cati,jati,,jati
rajaparamparai,rajaparivara,,raju parivaramu
aracakutumpam,rajakutumba,rajakutumbam,raju kutumbamu
rajyacapai,rajyasabhe,rajyasabha,rajyasabha
rajyacapai,rajyasabhe,rajyasabha,rajasabha
kankiras,kangres,kongrass,kangres
yurop,yurop,yuropp,yurap
kiramam,,,gramam
kilap,klab,klabb,klab
natakanatikar,natakakara,,natakarudu
mafiya,maphiya,maphiya,maphiya
partti,,,parti
akatami,akademi,akkadami,akadami
paliteknik,paliketeknik,politeknikk,pal teknik
cattiriyan,ksatriya,ksatriyan,ksatriyudu
talntavar,,,antyavarnam
parta,parade,parda,parada
mantirimantalam,mantriparisattu,,mantrimandali
ani,,ani,lainu
aranyam,vana,vanam,vanyam
vanam,kanana,vanam,aranyam
atikara varkkam natattum atcimurai,adhikarigala honegetta prabhutva,,nirankusa adhikara varga prabhutvam
patan inam,pathana jati,pathanikal,pathanu jati
talukka,taluku,taluk,taluka
antaritcam,antariksa,antariksam,antariksam
antaram,antariksa,antariksam,anantam
akacam,akasa,,akasam
nakaram,nagara,,nagaram
camrajiyam,samrajya,samrajyam,samrajyam
narakam,naraka,narakam,narakamu
mekam,megha,megham,megham
mottaviyapari,sagatu vyapari,motta vyapari,toku vyapari
jokkar,jokar,jokkar,jokaru
jamintar,jaminudara,,jamindaru
kustarokam,kusta-rogi,kustharogi,kusturogi
tampi,tamma,,tammi
tampi,tamma,,tambi
kalainan,kalavida,,kalakovidudu
melatikari,varistha adhikari,meladhikari,unnata adhikari
melatikari,olleya adhikari,meladhikari,visista adhikari
viyapari,vyapari,vyapari,vyapari
viran,vira,,virudu
navap,navaba,navab,navabu
naci,,nasi,naji
ninca,,,ninja
nars,nars,,narsu
partti,,,-parti
paropakariyana,paropakari,paropakari,paramartha
paropakariyana,paropakari,paropakari,paropakari
pop,,,pop
talai,,tala,tala
matatipati,mathadhyaksa,mathadhipan,mathadhipati
kaiti,kaidi,,khaidi
parsar,,parsalar,passar
irani,rani,rajni,rajni
makarani,pattarani,maharani,rajamahisi
pattatturani,pattadarasi,maharani,pattapurani
makarani,rajamahisi,maharani,pattamahisi
makarani,pattada rani,maharani,maharani
cillaraiviyapari,cillare vyapari,cillara vyapari,ritail vyapari
cillaraiviyapari,cillare vyapari,cillara vyapari,cillara vyapari
kavi,,kavi,kavi
latcatipati,laksadipati,laksadhipati,laksadhikari
akka,,,akka
pataki,gayaki,gayika,gayini
mantiravati,mantragara,mandravadi,mantragadu
atma,atma,atmav,atma
piranan,prana,,pranam
varicu,varasudara,,varasudu
kuru,guru,,guruvu
tiviravati,ugravadi,tivravadi,ugravadi
nakaravaci,nagara-vasi,nagaravasi,nagaranivasi
nakaravaci,nagara-vasi,nagaravasi,nagaravasi
carvatikari,,,sarvadhikari
kiramavaci,grama-nivasi,,graminavasi
kiramavaci,grama nivasi,,gramanivasi
villan,,,vilan
vitavai,vidhave,vidhava,vidhava
mantirikan,,,mantrikudu
yuvati,yuvati,yuvati,yuvati
atirstam,adrusta,,adrstam
piralayam,pralaya,pralayam,pralayam
cantirikai,,candrakiranam,candrarasmi
cantirikai,,candrakiranam,candrakiranalu
curyotayam,suryodaya,,suryodayam
pu,huvu,puv,puvvu
karan,,,karanj
citappalam,sitaphala,,sitaphalam
campakam,campaka,campeyam,sampange
campakam,campaka,cempakam,campakamu
makkana,,,makhana
nilatamarai,,nilattamara,nili tamara
nilatamarai,,nilattamara,nili kamalam
makarantam,,makarandam,makarandam
pitvan,,,pithavana
pokanviliya,bogan villa,boganvilla,bhoganavilaya
kaliflavarkoti,kaliphlavaru,koliphlavar,kaliplavar
kantankali,,,kantakari
cita,,citrakam,citavrksam
cita,,citrakam,citakalpam
parli,,barli,barli
taniyam,dhanya,,dhanyam
pojpatram,bhojapatra,bhurjipatram,bhojapatramu
mallicceti,,,malletiga
akrot,,,akhrot
kaipputti,,kayaputi,kajuput
kaipputti,,kayaputi,kayputi
lavankam,lavanga,lavangam,lavangam
"kunkumappu,",,,kunkumapuvvu
pankajam,,paniyaruham,pankajam
ampuyam,,pankajatam,amburuham
pankayam,,pathojam,kanjatam
tamaraippu,,,tamarapuvvu
ampuyam,sambuka,ambhoruham,ambujam
kamalam,kamala,kamalam,kamalam
kamalam,kamala,sarasam,sarangam
pattani,batani,,bathani
akati,,agati,agati
pakkayan,,,bakayan
arancu,,,narinja
cantanam,candana,candanam,candanam
lici,lici,licci,lici
pista,pista,pista,pista
vitara,vidhara,vidhara,vidhara
peppar mint,,pepparminra,ppiramintu
putina,pudina,putina,podina
putina,pudina,putina,pudina
raspari,,rasbhari,rasabhari
kottumalli,kotambari,kottamalli,kottimira
mul,mullu,mull,mundlu
mul,mullu,mull,mullulu
katir,,katir,kanki
paruppu,,,pappu
kavattotti,,,kauathothi
patta,,,patta
nikaralapam,nivvala labha,,-nikara labham
vari,,,vari
tanam,dana,danam,danamu
canta,canda,,canda
cunkam,,,sunkam
atvans,,advans,advans
jamin,jaminu,jamin,jaminu
mulatanam,muladhana,muladhanam,muladhanam
tankananayam,,svarnna nanayam,svarna nanem
pencan,pincani,pensan,pansanu
pencan,pincani,pensan,pinchanu
cillarai,cillare,cillara,cillara
not,not,nott,notu
anukulam,anukula,anukulamaya,anukulam
racayanam,rasayanika,,rasayanikakriya
piracavam,,prasavam,prasavam
nirillata,nirardrikarana,nirjalikaranam,nirjalikaranam
pakistan rupay,pakistani hana,pakkistani rupa,pakistan rupayi
morisiyas rupay,marisiyas notu,marisyas rupa,malesiya rupayi
nepala rupay,nepali rugalu,neppali rupa,nepal rupayi
srilanka rupay,srilanka rupayi,srilankan rupa,srilankarupayi
srilanka rupay,srilanka rupayi,srilankan rupa,srilankananem
avuns,aunsu,auns,aunsu
avuns,aunsu,auns,auns
kal,,,kal
millikiram,miligram,milligram,milligramu
millikiram,miligram,milligram,mi.gra
millikiram,miligram,milligram,mi.gram
kilokiram,kilogram,kilogram,kilo
kilokiram,kilogram,kilogram,kilogram
kuvintal,kvintal,kinral,kvintallu
cunyam,sunya,pujyam,sunna
nanku,nalku,,nalugu
pattu,hattu,patt,padi
patinanku,hadinalku,patinal,padnalagu
muppatu,muvattu,muppat,muppai
ayiram,savira,ayiram,sahasra
koti,koti,koti,koti
koncam,konca,,konta
koncam,konca,,koncem
camutayam,samuha,samudayam,samudayamu
camutayam,samuha,,samuhamu
potti,,,poti
vattam,vrutta,vattam,vrttamu
araivattam,ardhavrutta,arddhavrttam,ardhavrttam
konam,kona,kon,konam
accu,accu,,accu
kannam,,karnnam,karnam
mantalam,mandala,upamandalam,mandalam
piramit,piramid,piramid,piramid
arokkiyam,arogya,arogyam,arogyam
maunam,mauna,,maunam
natpu,,,nantu
necam,sneha,sneham,sneham
ekatipatyam,purnadhikara,ekadhikaram,ekadhipatyamu
ekatipatyam,purnadhikara,ekadhipatyam,ekacatradhipatyam
ekatipatyam,purnadhikara,ekadhikaram,ekadhikaramu
ekatipatyam,purnadhikara,ekadhikaram,guttadhipatyam
ekatipatyam,purnadhikara,ekadhikaram,guttadhikaram
kastam,kasta,klesam,kastam
cuniyam,sunya,sunyata,sunyam
turatirstam,duradrusta,duravastha,duradrstam
tival,,,divala
tatankal,,tatankal,atankam
apayam,apaya,apayam,apayamu
apayam,apaya,apayam,apada
pakkavatam,paksavata,talarvatam,paksavatamu
pakkavatam,paksavata,paksaghatam,paccivatam
annanam,ajnana,ajnata,-ajnanam
anatai,anatha,,anadha
amilam,amla,amlam,amlika
amilam,amla,amlam,amlam
aluminiyam,alyuminiyam,aluminiyam,alyuminiyam
poran,boran,boron,boran
kulorin,klorin,klorin,klorin
tankam,,,kanakam
hiliyam,hiliyam,hiliyam,hiliyam
haitrajan,haidrojan,haidrajan,haidrojan
haitrajan,haidrojan,haidrajan,udajani
haitrajan anu,haidrojan paramanu,haidrajan arram,haidrojan paramanuvu
pataracam,padarasa,,padarasam
naitrajan,naitrojan,naitrajan,naitrojan
aksijan,aksijan,oksijan,aksijan
pottaciyam,potyasiyam,pottasyam,potasiyam
retiyam,rediyam,rediyam,rediyam
kantakam,gandhaka,gandhakam,gandhakam
taitteniyam,,,taitaniyam
yureniyam,yureniyam,yureniyam,yureniyam
apirakam,abhraka,abhram,abrakam
mencil,,,main sil
pittalai,hittale,piccala,pingali
purottin,protin,prottin,protinulu
nilam,nili,nilam,nilamu
nilam,nili,nilam,nili
pacanam,,,pasanam
kappar calpet,,,kapar saphpet
karpuram,kappura,karppuram,karpuram
karpohaitret,karban haidretu,karbohaidrerr,karbohaidrets
kirepait,gryaphait,graphairr,graphait
ciment,siment,simanr,siment
ciment,siment,simanr,simentu
pavalam,havala,pravalam,pagadam
nir,niru,,niru
multani mitti,multani monnu,multtanamitti,multani matti
lava,lava,lava,lava
cunnampu,,cunnamp,sunnam
cantirakantakkal,,candrakanta kall,candrakantamani
cantirakantakkal,,candrakanta kall,candrakantaratnam
kakitam,,,kagitamu
pal,halu,pal,palu
naitret,,naitrerr,naitret
vellam,bella,,bellamu
vellam,bella,,bellam
vaittamin,vaitaminu,virramin,vitaminlu
kattai,kattige,,katte
ist,,,ist
varam,vara,varam,varam
vayacu,vayassu,vayass,vayassu
camayam,samaya,samayam,samayam
janakkalam,janma-kala,janmasamayam,jananakalam
pirantakalam,,,puttinakalam
maranam,marana,caramam,maranam
maranam,antima yatre,antima yatra,antimayatra
cavu,,cav,cavu
tinam,dina,dinam,dinamu
matiyavelai,,,mapativela
cayankalam,sandhyakala,sandhya,sayantram
cayankalam,sanje,sayankalam,sayankalam
naturattiri,sari ratri,maddhya ratri,nadiratiri
naturattiri,sari ratri,arddha ratri,nisiratri
naturattiri,nadu ratri,maddhya ratri,madhyaratram
naturattiri,madhya ratri,maddhya ratri,madhyaratri
naturattiri,ardha ratri,arddha ratri,nadiratri
naturattiri,sari ratri,arddha ratri,naduratri
naturattiri,nadu ratri,maddhya ratri,ardharatram
naturattiri,ardha ratri,maddhya ratri,ardharatri
cayankalam,sayankala,sayam kalam,sandhyavela
curiyaastamanam,suryasta,astamayam,suryastamayam
kalantar,kyalandar,kalantar,kyalendar
kiristumas,krismas,kristumas,krismas
macam,masa,masam,masam
tinam,i dina,ghasram,dinam
janavari,janavari,januvari,janavari
pipravari,phebravari,phebruvari,phibravari
marc-1,marc,marcc,marci
epral,epral,epril,epriyal
julai,julai,julay,julai
akast,agast,,agastu
ceptampar,septembar,seprrambar,septembaru
aktopar,aktobar,oktobar,-aktobaru
navampar,navembar,navambar,navambar
navampar,navembar,navambar,navambaru
ramalan,ranjan,,ranjan
pakrit,bakrid,bakkrid,bakridu
vaikacimatam,vaisakha,vaisakham,vaisakhamasam
ramanavami,rama-navami,ramanavami,ramanavami
ramanavami,rama navami,ramanavami,sriramanavami
karttikai,kartika,karttika masam,kartikamasam
karppakalam,garbhavasa,garbhakalam,garbhasamayam
karppakalam,garbhavasa,garbhakalam,garbhasthiti
karppakalam,garbhavasthe,garbhakalam,garbhavastha
karppakalam,garbhavasthe,garbhakalam,garbhakalamu
nimitam,nimisa,,nimisamu
vacantakalam,,vasantakalam,vasantakalam
kulirkalam,caligala,,calikalam
malaikkalam,varsakala,varsakalam,varsakalam
malaikkalam,varsakala,malakkalam,varsartuvu
ksanam,ksana,,ksanam
yukam,yuga,yugam,yugam
yukam,yuga,yugam,yugamu
kalam,,kalam,kalamu
cayunkalam,sanjeya-vele,,-sandhya
kaliyana,,,khaliyaina
nintakalamana,dirghakalinavada,cirakalikamaya,cirakalamaina
nintakalamana,dirghakalina,dirghakalinamaya,dirgha kalapu
nintakalamana,bahukalina,cirakalinamaya,dirghakalika
atikamana,adhikavada,,adhikamaina
alankaramarra,alankara rahita,alankarikkatta,alankaramleni
alankaramarra,alankara rahita,alankarikkatta,alankarahitamaina
irattamillata,raktarahitavada,raktamillatta,raktasunyamaina
irattamillata,raktasunyavadantaha,raktamillatta,raktahinamaina
irattamillata,raktasunyavada,raktamillatta,raktarahitamaina
matamillata,krodavilladanta,krodhamillatta,krodahinamaina
jalam,jala,jala,jalapu
kavacamaninta,kavacitavadanta,kavacadhariyaya,kavacadariyaina
payankaramana,bhayankara,bhayanaka,bhayankaramaina
viparitamana,,viparitamaya,viparitamaina
kalankamana,,,kalankitamaina
koturamana,,,kruramaina
cankocamana,,,sankocamaina
spatikamulla,sphatikada,,spatikamaina
pirakacamana,prakasamanavada,prakasamanamaya,prakasavantamaina
katinamana,kathinavagi,kathinamayi,kathinamaina
mariya,,mariya,marina
kasaya nira,,,kasaya rangu
kavi nira,kavi bannada,,kavi rangu
pista nira,,,pistarangu
pista nira,,,pasupu rangu
vellaiyana,,,telladaina
comperiyana,,,somariyaina
vicesamana,visesavada,,visesamaina
nirainta,,niranna,nindina
anukulamana,anugunavada,anukulamaya,anugunamaina
anukulamana,anukulakara,anukulamaya,anukulamaina
kalaccaramana,,,acaryamaina
paccai,,,pacci
mukkiyamana,mukhyavada,mukhyamaya,mukhyamaina
vivaramulla,vivaranatmakavada,vivaranatmaka,vivaranatmakamaina
nerana,,neraya,neraina
cakkaravartti,cakravarti,cakravartti,cakravarti
natakamana,natakiyavadanta,,natakiyamaina
niyamanamana,,,niyamincadamaina
antarankamana,,,daparikamaina
mukastuti ceykira,mukhastuti,,mukhastutiyaina
camatalamana,samamadidanta,samatalamaya,samatalamaina
murkkamana,,,udrekamaina
irakaciyamana,rahasyavada,rahasyamaya,rahasyamugala
irakaciyamana,rahasyavadanta,rahasyamaya,rahasyamaina
unmaiyana,nyayayuta,nyayiyaya,nyayamaina
vicittiramana,vicitravadanta,vicitramaya,vicitramaina
vicittiramana,vicitravadanta,,advitiyamaina
acataranamana,,,asadaranamaina
cuntaramana,sundaravadanta,,sundaramaina
palavinamatainta,,,balahinamaina
irakkumatiyana,,irakkumaticeyta,digumatiyaina
turatirsatamana,duradrustadanta,,duradrstakaramaina
amankalamana,amangalavada,,amangalam
vacanaiyulla,suvasaneyulla,vasanayulla,vasanagala
kettiyana,gattiyada,kattiyaya,gattiga
urpattikkana,,,uttpattiyaina
anantamana,,,anammaina
mirutuvana,mruduvada,,mrduvaina
ramapanamana,rama banadanta,,rama-bage
ramapanamana,ramabanadantaha,,ramavanam
katinamana,,,kastamaina
irattai vesam potukinra,eradu tale havinantaha,,rendu nalukalu gala
apantamana,asatyavadiyada,,asatyamaina
vacanta,vasanta masa,vasantakala,vasantakalamaina
manusanarra,amanusa,amanusaraya,amanusyamaina
piratanam,pradhana,pradhanamaya,pradhanamaina
velivanta,,,veluvadina
anantamaiyamana,anandapurnavada,anandapurnnamaya,anandakaramaina
anantamaiyamana,anandapurnavadanta,anandapurnnamaya,santosakaramaina
nanamulla,jnanamayavadanta,,jnanamayamaina
terinta,,,erigina
vistaramana,visalavada,visalamaya,visalamaina
cinnaccinna,,,cinna-cinna
melliya,,,mellaga
melliya,,,melliga
