tam,kan,mal,tel
lankur,langur,langur,
caki,,saki,
lemar,,lemar,
yanai,ane,ana,
min,minu,min,
maniccattam,,maniccattam,
vimanam,vimana,vimanam,
vimananilaiyam,vimana nildana,,
teru,,teruv,
nankuram,langaru,nankuram,
ropat,robat,,
pilanal,,phalalin,
tarc,tarcu,torcc,
tarai,,tara,
tottam,hutota,puntottam,
mul karanti,,mulkkaranti,
kottai,kote,,
astivaram,,atittara,
pavuntain pen,phauntan-pennu,phantan pena,
carakkuvanti,,carakk tivanti,
munpakam,,munnagram,
munpakkam,,munnarram,
parniccar,,phrniccar,
kerej,gyareju,gyarej,
jenarettar,janaretar,janarerrar,
cenarettar,janaretar,janarerrar,
tamlar,,tamblar,
matupattiram,madhyadapatre,panapatram,
rekulettar,,regulerrar,
kiramafon,gramophon,gramaphon,
vanali,kavali,,
vataicatti,,varacatti,
citar,gitar,girrar,
kotari,kodali,,
kotali,kodali,,
talluvanti,tallugadi,untu vanti,
kaivilanku,,kaivilannu,
atipampu,kaipampu,,
tumpi,,tumbi,
armoniyam,harmoniyam,harmoniyam,
harmoniyam,harmoniyam,harmoniyam,
toppi,topi,,
talaikani,,talakkal,
talakani,,talakkal,
helikaptar,,helikoprrar,
aciramam,asrama,asramam,
herayin,herayin,heroyin,
mika uyaramana malikai,akasa muttuva bhavana,,
mika uyaramaka kattitam,atyanta ettaravada kattada,,
manvetti,,manvetti,
"jatakam,",jataka,jatakam,
kutiraivanti,,kutiravanti,
latam,,latam,
ottal,hotelu,hottal,
illam,alaya,nilayam,
pavanam,sadana,vasati,
vitu,,vit,
ampari,ambari,,
maikkutu,,masikkutukka,
intarnet,,inrarnerr,
istiri,istri,,
jip,jipu,jipp,
rikca,riksa,riksa,
kettil,,kerril,
kenti,,kerril,
cavi,cavi,,
katar,,khadar,
raja,,rajav,
camaiyalupakaranam,adige-upakarana,atukkala upakaranam,
pattam,,pattam,
katti,katti,katti,
ancanam,anjana,anjanam,
kanmaci,,kanmasi,
kanmai,,kanmasi,
les,,les,
matippati,,konippati,
cimni,,cimmini,
lantarvilakku,,rantal vilakk,
leptap,lyap tap,lapptopp,
kataical iyantiram,kadecalu yantra,,
latti,,latti,
kal,kalu,kal,
muti,,muti,
tari,,tari,
lunki,lungi,lunki,
kaili,,kaili,
iyantiram,yantra,yantram,
upakaranam,,upakaranam,
kantam,kanta,kantam,
mettai,mette,metta,
kannati,kannadi,kannati,
mopat,moped,moppad,
kocuvalai,,kotukuvala,
skuttar,skutar,skuttar,
mottarvakanam,,mottar vahanam,
elippori,,elippetti,
cuvaroviyam,,cuvarcitram,
cuvar cittiram,,cuvarcitram,
vaykkutu,,vaykkurukk,
kalar,,kolar,
tai,,tai,
paccaik kuttum uci,hacce cuccuva upakarana,,
valai,jala,vala,
vilakku,,vilakk,
apin,aphimu,,
apini,aphimu,,
palkani,,balkkani,
cayam,,cayam,
turikai,,tulika,
rajpavan,rajabhavana,rajbhavan,
alamillata iluppaic catti,banale cikka kadayi,,
pepparveyit,,pepparveyirr,
vali,vayu,vali,
natakkum vali,,itukku vali,
pena,pennu,pena,
elutukol,,eluttu kol,
penakkatti,,penakatti,
piyano,piyano,piyano,
munai,,muna,
"talaiyanai,",,talayana,
hikka,,hukka,
pistan,pistan,pisrran,
matiri,madari,matrka,
kuncam,kunca,,
kulam,,kulam,
tapalpetti,tapalu-pettige,tapalppetti,
cakkaram,cakra,cakram,
accu iyantiram,,accati yantram,
pirasarkukkar,prasar kukkar,,
jeyil,jailu,jayil,
pottan,batan,battan,
mantiri,mantri,mantri,
rani,rani,rajni,
ratar,redar,radar,
retiyo,rediyo,rediyo,
vanoli,banuli,,
irayilnilaiyam,railve nildana,,
rayilnilaiyam,railve nildana,,
malaikottu,,malakkott,
malaikot,,malakkott,
vacakacalai,vacanayala,vayanasala,
rekkartar,rikardaru,rekkodar,
kativalam,kadivana,kativalam,
rivalvar,rivalvar,rivolvar,
patai,patha,pata,
eksre,eks kirana,eksre,
pannir,,paninir,
rappar,rabbaru,rabbar,
skel,,skeyil,
vimanappatti,vimana nadupatti,,
paymaram,,payvallam,
calvar,selvar,sal var,
sattan,,sarrin,
sattin,,sarrin,
pallikkutam,,pallikkutam,
kutumpam,kutumba,kutumbam,
pallakku,pallakki,,
elam ennutaiya cittu,,elu pulli citt,
uci,suji,suci,
valurai,,valura,
kappal,,kappal,
ceruppu,,ceruppu,
katai,kathe,kata,
ankati,mandi,,
sattar,satar,sattar,
manal callatai,maralu jallada,,
manal jallatai,maralu jallada,,
paniyan,baniyanu,baniyan,
ulcattai,,ulccatta,
kittar,sitar,sittar,
cittar,sitar,sittar,
aru,aru,ar,
irakket,raket,,
naciyam,nasya,,
mukkuppoti,,mukkippoti,
coppuppetti,,sopp petti,
kalurai,,kalurakal,
kahiya,,kahiya,
